"token";"count";"count_files";"perc_files"
" ";6444;31;1.0
"(";422;31;1.0
")";416;31;1.0
"*";368;18;0.5806451612903226
"=";291;26;0.8387096774193549
"/";267;19;0.6129032258064516
";";218;29;0.9354838709677419
".";166;25;0.8064516129032258
"'";156;8;0.25806451612903225
",";151;24;0.7741935483870968
"""";133;12;0.3870967741935484
"0";106;15;0.4838709677419355
">";100;16;0.5161290322580645
"|";89;13;0.41935483870967744
"+";85;9;0.2903225806451613
"buffer_ptr";84;3;0.0967741935483871
"<";82;11;0.3548387096774194
"&";77;9;0.2903225806451613
"{";74;29;0.9354838709677419
"the";73;9;0.2903225806451613
"}";71;29;0.9354838709677419
"if";70;26;0.8387096774193549
"-";63;13;0.41935483870967744
"UINT";53;14;0.45161290322580644
"return";49;21;0.6774193548387096
"packet_ptr";42;11;0.3548387096774194
"server_ptr";41;7;0.22580645161290322
"CHAR";38;9;0.2903225806451613
"status";37;9;0.2903225806451613
"to";28;8;0.25806451612903225
"]";26;8;0.25806451612903225
"[";26;8;0.25806451612903225
"for";25;12;0.3870967741935484
"NX_NULL";24;9;0.2903225806451613
"!";22;16;0.5161290322580645
"value";19;6;0.1935483870967742
"else";19;6;0.1935483870967742
"Check";18;11;0.3548387096774194
"length";17;4;0.12903225806451613
"i";17;2;0.06451612903225806
"public";17;8;0.25806451612903225
"is";17;7;0.22580645161290322
"\";17;6;0.1935483870967742
"name";16;4;0.12903225806451613
"nx_packet_append_ptr";15;4;0.12903225806451613
"pointer";15;6;0.1935483870967742
"a";15;5;0.16129032258064516
"input";14;10;0.3225806451612903
"tmp";14;1;0.03225806451612903
"of";14;6;0.1935483870967742
":";14;5;0.16129032258064516
"size";14;2;0.06451612903225806
"NX_PACKET";13;12;0.3870967741935484
"ch";13;1;0.03225806451612903
"?";13;5;0.16129032258064516
"while";12;5;0.16129032258064516
"@";12;1;0.03225806451612903
"String";12;5;0.16129032258064516
"s";12;4;0.12903225806451613
"x";12;2;0.06451612903225806
"buffer";12;3;0.0967741935483871
"parameter";11;3;0.0967741935483871
"query";11;2;0.06451612903225806
"packet";10;5;0.16129032258064516
"character";10;5;0.16129032258064516
"credits";10;1;0.03225806451612903
"index";9;1;0.03225806451612903
"Validation";9;1;0.03225806451612903
"get";9;9;0.2903225806451613
"Return";9;7;0.22580645161290322
"coursename";9;1;0.03225806451612903
"startDate";8;1;0.03225806451612903
"and";8;8;0.25806451612903225
"nx_web_http_server_request_packet";8;2;0.06451612903225806
"Move";8;4;0.12903225806451613
"new";8;8;0.25806451612903225
"param_ptr";8;2;0.06451612903225806
"NX_WEB_HTTP_NOT_FOUND";8;3;0.0967741935483871
"end";8;4;0.12903225806451613
"NX_SUCCESS";8;6;0.1935483870967742
"throw";8;8;0.25806451612903225
"data";8;7;0.22580645161290322
"c";7;4;0.12903225806451613
"this";7;6;0.1935483870967742
"NULL";7;4;0.12903225806451613
"NX_WEB_HTTP_SERVER";7;7;0.22580645161290322
"cmd";7;1;0.03225806451612903
"chunk";7;2;0.06451612903225806
"ULONG";7;6;0.1935483870967742
"query_ptr";7;2;0.06451612903225806
"class";7;6;0.1935483870967742
"break";7;5;0.16129032258064516
"caller";7;7;0.22580645161290322
"found";7;3;0.0967741935483871
"Request";6;1;0.03225806451612903
"function";6;6;0.1935483870967742
"endl";6;1;0.03225806451612903
"content";6;4;0.12903225806451613
"n";6;3;0.0967741935483871
"invalid";6;6;0.1935483870967742
"Integer";6;3;0.0967741935483871
"void";6;6;0.1935483870967742
"NX_PTR_ERROR";6;6;0.1935483870967742
"current_query";6;1;0.03225806451612903
"Call";6;6;0.1935483870967742
"actual";6;6;0.1935483870967742
"label";6;1;0.03225806451612903
"query_size";6;2;0.06451612903225806
"cout";6;1;0.03225806451612903
"Yes";6;2;0.06451612903225806
"testScore";6;1;0.03225806451612903
"y";6;1;0.03225806451612903
"param_size";6;2;0.06451612903225806
"completion";5;5;0.16129032258064516
"var";5;2;0.06451612903225806
"pointers";5;5;0.16129032258064516
"int";5;4;0.12903225806451613
"string_size";5;2;0.06451612903225806
"message";5;1;0.03225806451612903
"n”";5;2;0.06451612903225806
"name_length";5;1;0.03225806451612903
"Credits";5;1;0.03225806451612903
"destination_ptr";5;2;0.06451612903225806
"grade";5;1;0.03225806451612903
"actual_size";5;2;0.06451612903225806
"Your";5;1;0.03225806451612903
"	";5;1;0.03225806451612903
"current";5;3;0.0967741935483871
"not";5;5;0.16129032258064516
"http_type_string";5;2;0.06451612903225806
"T";5;2;0.06451612903225806
"must";5;3;0.0967741935483871
"we";5;3;0.0967741935483871
"server";5;5;0.16129032258064516
"nx_packet_prepend_ptr";5;5;0.16129032258064516
"Html";5;1;0.03225806451612903
"res";5;1;0.03225806451612903
"bar";5;2;0.06451612903225806
"printf";5;2;0.06451612903225806
"max_param_size";5;2;0.06451612903225806
"request";5;3;0.0967741935483871
"string";5;5;0.16129032258064516
"l";5;2;0.06451612903225806
"be";5;3;0.0967741935483871
"UCHAR";5;2;0.06451612903225806
"next";4;3;0.0967741935483871
"up";4;2;0.06451612903225806
"Update";4;4;0.12903225806451613
"select";4;2;0.06451612903225806
"new_packet_ptr";4;1;0.03225806451612903
